roundId,price,startedAt,updatedAt,roundId
9.22E+19,2.81E+11,1645914183,1645914183,9.22E+19
9.22E+19,2.81E+11,1645916128,1645916128,9.22E+19
9.22E+19,2.79E+11,1645916743,1645916743,9.22E+19
9.22E+19,2.78E+11,1645918538,1645918538,9.22E+19
9.22E+19,2.78E+11,1645919727,1645919727,9.22E+19
9.22E+19,2.76E+11,1645922120,1645922120,9.22E+19
9.22E+19,2.76E+11,1645923429,1645923429,9.22E+19
9.22E+19,2.74E+11,1645924119,1645924119,9.22E+19
9.22E+19,2.73E+11,1645924302,1645924302,9.22E+19
9.22E+19,2.71E+11,1645925574,1645925574,9.22E+19
9.22E+19,2.71E+11,1645926936,1645926936,9.22E+19
9.22E+19,2.71E+11,1645927300,1645927300,9.22E+19
9.22E+19,2.69E+11,1645927402,1645927402,9.22E+19
9.22E+19,2.71E+11,1645928108,1645928108,9.22E+19
9.22E+19,2.71E+11,1645930633,1645930633,9.22E+19
9.22E+19,2.72E+11,1645932494,1645932494,9.22E+19
9.22E+19,2.72E+11,1645934111,1645934111,9.22E+19
9.22E+19,2.71E+11,1645937689,1645937689,9.22E+19
9.22E+19,2.71E+11,1645937747,1645937747,9.22E+19
9.22E+19,2.72E+11,1645940806,1645940806,9.22E+19
9.22E+19,2.72E+11,1645941320,1645941320,9.22E+19
9.22E+19,2.73E+11,1645944983,1645944983,9.22E+19
9.22E+19,2.74E+11,1645946779,1645946779,9.22E+19
9.22E+19,2.74E+11,1645948529,1645948529,9.22E+19
9.22E+19,2.74E+11,1645948901,1645948901,9.22E+19
9.22E+19,2.74E+11,1645949029,1645949029,9.22E+19
9.22E+19,2.74E+11,1645949165,1645949165,9.22E+19
9.22E+19,2.75E+11,1645952170,1645952170,9.22E+19
9.22E+19,2.76E+11,1645953722,1645953722,9.22E+19
9.22E+19,2.77E+11,1645955723,1645955723,9.22E+19
9.22E+19,2.78E+11,1645958682,1645958682,9.22E+19
9.22E+19,2.80E+11,1645958898,1645958898,9.22E+19
9.22E+19,2.81E+11,1645959315,1645959315,9.22E+19
9.22E+19,2.82E+11,1645963018,1645963018,9.22E+19
9.22E+19,2.83E+11,1645966566,1645966566,9.22E+19
9.22E+19,2.82E+11,1645968258,1645968258,9.22E+19
9.22E+19,2.80E+11,1645969031,1645969031,9.22E+19
9.22E+19,2.78E+11,1645969106,1645969106,9.22E+19
9.22E+19,2.77E+11,1645969493,1645969493,9.22E+19
9.22E+19,2.75E+11,1645969858,1645969858,9.22E+19
9.22E+19,2.76E+11,1645970132,1645970132,9.22E+19
9.22E+19,2.78E+11,1645970732,1645970732,9.22E+19
9.22E+19,2.76E+11,1645972617,1645972617,9.22E+19
9.22E+19,2.76E+11,1645973798,1645973798,9.22E+19
9.22E+19,2.77E+11,1645975240,1645975240,9.22E+19
9.22E+19,2.80E+11,1645975663,1645975663,9.22E+19
9.22E+19,2.80E+11,1645977378,1645977378,9.22E+19
9.22E+19,2.78E+11,1645979306,1645979306,9.22E+19
9.22E+19,2.77E+11,1645980923,1645980923,9.22E+19
9.22E+19,2.77E+11,1645984528,1645984528,9.22E+19
9.22E+19,2.77E+11,1645984697,1645984697,9.22E+19
9.22E+19,2.76E+11,1645985350,1645985350,9.22E+19
9.22E+19,2.75E+11,1645988115,1645988115,9.22E+19
9.22E+19,2.73E+11,1645989596,1645989596,9.22E+19
9.22E+19,2.71E+11,1645989926,1645989926,9.22E+19
9.22E+19,2.70E+11,1645990364,1645990364,9.22E+19
9.22E+19,2.68E+11,1645990550,1645990550,9.22E+19
9.22E+19,2.67E+11,1645990666,1645990666,9.22E+19
9.22E+19,2.65E+11,1645991341,1645991341,9.22E+19
9.22E+19,2.64E+11,1645991551,1645991551,9.22E+19
9.22E+19,2.63E+11,1645991709,1645991709,9.22E+19
9.22E+19,2.62E+11,1645992231,1645992231,9.22E+19
9.22E+19,2.63E+11,1645995120,1645995120,9.22E+19
9.22E+19,2.64E+11,1645995191,1645995191,9.22E+19
9.22E+19,2.64E+11,1645995349,1645995349,9.22E+19
9.22E+19,2.63E+11,1645996108,1645996108,9.22E+19
9.22E+19,2.61E+11,1645996163,1645996163,9.22E+19
9.22E+19,2.60E+11,1645996690,1645996690,9.22E+19
9.22E+19,2.58E+11,1645996927,1645996927,9.22E+19
9.22E+19,2.60E+11,1645997440,1645997440,9.22E+19
9.22E+19,2.61E+11,1645998712,1645998712,9.22E+19
9.22E+19,2.61E+11,1645998915,1645998915,9.22E+19
9.22E+19,2.63E+11,1646001359,1646001359,9.22E+19
9.22E+19,2.61E+11,1646002372,1646002372,9.22E+19
9.22E+19,2.61E+11,1646002635,1646002635,9.22E+19
9.22E+19,2.61E+11,1646003068,1646003068,9.22E+19
9.22E+19,2.60E+11,1646003435,1646003435,9.22E+19
9.22E+19,2.61E+11,1646003907,1646003907,9.22E+19
9.22E+19,2.60E+11,1646004495,1646004495,9.22E+19
9.22E+19,2.61E+11,1646005102,1646005102,9.22E+19
9.22E+19,2.63E+11,1646005695,1646005695,9.22E+19
9.22E+19,2.62E+11,1646006147,1646006147,9.22E+19
9.22E+19,2.61E+11,1646007864,1646007864,9.22E+19
9.22E+19,2.61E+11,1646009725,1646009725,9.22E+19
9.22E+19,2.62E+11,1646010758,1646010758,9.22E+19
9.22E+19,2.64E+11,1646011469,1646011469,9.22E+19
9.22E+19,2.65E+11,1646011501,1646011501,9.22E+19
